"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from flask air samples                   "
" Alert Station, NWT, Canada.                                                               "
"                                                                                           "
" Source: R. F. Keeling and S. J. Walker                                                    "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data from archive dated 21-Feb-2025 08:57:33                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 20 SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,     ppm,      ppm,        ppm,      ppm,       ppm,      ppm
1985, 01,   31062, 1985.0411,      NaN,      NaN,     350.02,   346.52,     350.02,   346.52
1985, 02,   31093, 1985.1260,      NaN,      NaN,     350.72,   346.62,     350.72,   346.62
1985, 03,   31121, 1985.2027,      NaN,      NaN,     351.18,   346.71,     351.18,   346.71
1985, 04,   31152, 1985.2877,      NaN,      NaN,     351.44,   346.81,     351.44,   346.81
1985, 05,   31182, 1985.3699,   352.60,   347.82,     351.68,   346.91,     352.60,   347.82
1985, 06,   31213, 1985.4548,   347.99,   345.22,     349.78,   347.01,     347.99,   345.22
1985, 07,   31243, 1985.5370,   343.16,   346.56,     343.71,   347.11,     343.16,   346.56
1985, 08,   31274, 1985.6219,      NaN,      NaN,     337.93,   347.21,     337.93,   347.21
1985, 09,   31305, 1985.7068,   338.52,   347.29,     338.55,   347.32,     338.52,   347.29
1985, 10,   31335, 1985.7890,   342.70,   347.08,     343.04,   347.42,     342.70,   347.08
1985, 11,   31366, 1985.8740,   346.99,   347.30,     347.21,   347.52,     346.99,   347.30
1985, 12,   31396, 1985.9562,   350.12,   347.89,     349.85,   347.62,     350.12,   347.89
1986, 01,   31427, 1986.0411,   351.00,   347.48,     351.25,   347.73,     351.00,   347.48
1986, 02,   31458, 1986.1260,   351.51,   347.38,     351.96,   347.83,     351.51,   347.38
1986, 03,   31486, 1986.2027,   352.68,   348.18,     352.42,   347.92,     352.68,   348.18
1986, 04,   31517, 1986.2877,   352.95,   348.29,     352.68,   348.02,     352.95,   348.29
1986, 05,   31547, 1986.3699,   353.54,   348.73,     352.93,   348.12,     353.54,   348.73
1986, 06,   31578, 1986.4548,   351.59,   348.80,     351.00,   348.21,     351.59,   348.80
1986, 07,   31608, 1986.5370,   346.76,   350.18,     344.88,   348.30,     346.76,   350.18
1986, 08,   31639, 1986.6219,   340.42,   349.76,     339.05,   348.40,     340.42,   349.76
1986, 09,   31670, 1986.7068,   339.30,   348.12,     339.67,   348.49,     339.30,   348.12
1986, 10,   31700, 1986.7890,   344.21,   348.62,     344.17,   348.58,     344.21,   348.62
1986, 11,   31731, 1986.8740,   348.57,   348.88,     348.37,   348.69,     348.57,   348.88
1986, 12,   31761, 1986.9562,   349.39,   347.15,     351.04,   348.80,     349.39,   347.15
1987, 01,   31792, 1987.0411,   351.35,   347.81,     352.47,   348.93,     351.35,   347.81
